,County,Year,Population,Deaths
0,barbour,2006,15922.0,201.0
1,barbour,2007,16036.0,164.0
2,barbour,2008,16241.0,179.0
3,barbour,2009,16479.0,188.0
4,barbour,2010,16589.0,174.0
5,barbour,2011,16520.0,178.0
6,barbour,2012,16493.0,208.0
8,berkeley,2006,96318.0,743.0
9,berkeley,2007,99132.0,735.0
10,berkeley,2008,101629.0,807.0
11,berkeley,2009,102830.0,837.0
12,berkeley,2010,104169.0,800.0
13,berkeley,2011,105750.0,880.0
14,berkeley,2012,107098.0,896.0
16,boone,2006,25101.0,332.0
17,boone,2007,25115.0,348.0
18,boone,2008,24794.0,367.0
19,boone,2009,24766.0,285.0
20,boone,2010,24629.0,333.0
21,boone,2011,24444.0,333.0
22,boone,2012,24478.0,281.0
24,braxton,2006,14585.0,184.0
25,braxton,2007,14585.0,183.0
26,braxton,2008,14587.0,182.0
27,braxton,2009,14512.0,163.0
28,braxton,2010,14523.0,152.0
29,braxton,2011,14485.0,165.0
30,braxton,2012,14468.0,196.0
32,brooke,2006,24399.0,337.0
33,brooke,2007,24235.0,348.0
34,brooke,2008,24168.0,308.0
35,brooke,2009,24153.0,302.0
36,brooke,2010,24069.0,361.0
37,brooke,2011,23844.0,354.0
38,brooke,2012,23853.0,336.0
40,cabell,2006,94943.0,1129.0
41,cabell,2007,95059.0,1255.0
42,cabell,2008,95209.0,1255.0
43,cabell,2009,96040.0,1090.0
44,cabell,2010,96319.0,1145.0
45,cabell,2011,96653.0,1168.0
46,cabell,2012,96974.0,1079.0
48,calhoun,2006,7531.0,78.0
49,calhoun,2007,7588.0,87.0
50,calhoun,2008,7621.0,91.0
51,calhoun,2009,7560.0,88.0
52,calhoun,2010,7627.0,90.0
53,calhoun,2011,7652.0,95.0
54,calhoun,2012,7607.0,105.0
56,clay,2006,9695.0,136.0
57,clay,2007,9696.0,121.0
58,clay,2008,9603.0,121.0
59,clay,2009,9505.0,100.0
60,clay,2010,9386.0,100.0
61,clay,2011,9357.0,102.0
62,clay,2012,9297.0,112.0
64,doddridge,2006,7848.0,81.0
65,doddridge,2007,7970.0,62.0
66,doddridge,2008,8034.0,80.0
67,doddridge,2009,8124.0,80.0
68,doddridge,2010,8202.0,75.0
69,doddridge,2011,8171.0,81.0
70,doddridge,2012,8178.0,83.0
72,fayette,2006,46200.0,607.0
73,fayette,2007,46243.0,646.0
74,fayette,2008,46171.0,626.0
75,fayette,2009,46034.0,670.0
76,fayette,2010,46039.0,647.0
77,fayette,2011,45699.0,608.0
78,fayette,2012,45869.0,640.0
80,gilmer,2006,8083.0,106.0
81,gilmer,2007,8248.0,87.0
82,gilmer,2008,8408.0,81.0
83,gilmer,2009,8529.0,82.0
84,gilmer,2010,8693.0,58.0
85,gilmer,2011,8705.0,73.0
86,gilmer,2012,8732.0,82.0
88,grant,2006,11834.0,124.0
89,grant,2007,11969.0,111.0
90,grant,2008,12022.0,116.0
91,grant,2009,11963.0,108.0
92,grant,2010,11937.0,119.0
93,grant,2011,11891.0,141.0
94,grant,2012,11816.0,127.0
96,greenbrier,2006,35196.0,442.0
97,greenbrier,2007,35354.0,428.0
98,greenbrier,2008,35457.0,498.0
99,greenbrier,2009,35351.0,483.0
100,greenbrier,2010,35480.0,458.0
101,greenbrier,2011,35800.0,529.0
102,greenbrier,2012,35820.0,467.0
104,hampshire,2006,23016.0,194.0
105,hampshire,2007,23492.0,205.0
106,hampshire,2008,23664.0,208.0
107,hampshire,2009,23820.0,220.0
108,hampshire,2010,23964.0,246.0
109,hampshire,2011,23812.0,253.0
110,hampshire,2012,23709.0,251.0
112,hancock,2006,31266.0,392.0
113,hancock,2007,30887.0,402.0
114,hancock,2008,30802.0,419.0
115,hancock,2009,30748.0,430.0
116,hancock,2010,30676.0,381.0
117,hancock,2011,30571.0,388.0
118,hancock,2012,30305.0,440.0
120,hardy,2006,13611.0,132.0
121,hardy,2007,13807.0,140.0
122,hardy,2008,13793.0,128.0
123,hardy,2009,13885.0,150.0
124,hardy,2010,14025.0,143.0
125,hardy,2011,13912.0,144.0
126,hardy,2012,13866.0,131.0
128,harrison,2006,68141.0,828.0
129,harrison,2007,67940.0,855.0
130,harrison,2008,68441.0,823.0
131,harrison,2009,68696.0,874.0
132,harrison,2010,69099.0,828.0
133,harrison,2011,69436.0,930.0
134,harrison,2012,69141.0,834.0
136,jackson,2006,28877.0,306.0
137,jackson,2007,29089.0,318.0
