"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"1999"	"1999"	307	44849	684.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2000"	"2000"	274	45251	605.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2001"	"2001"	323	48236	669.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2002"	"2002"	313	47896	653.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2003"	"2003"	354	48610	728.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2004"	"2004"	341	49151	693.8
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2005"	"2005"	344	49200	699.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2006"	"2006"	357	49916	715.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2007"	"2007"	369	51072	722.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2008"	"2008"	355	50599	701.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2009"	"2009"	325	49252	659.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2010"	"2010"	300	48965	612.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2011"	"2011"	319	49680	642.1
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2012"	"2012"	301	49320	610.3
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2013"	"2013"	292	50290	580.6
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2014"	"2014"	269	50439	533.3
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2015"	"2015"	265	50235	527.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2016"	"2016"	241	49500	486.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"	"2017"	"2017"	256	49315	519.1
"Total"	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"< 1 year"	"1"			5905	931776	633.7
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"1999"	"1999"	52	179390	29.0
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2000"	"2000"	55	180647	30.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2001"	"2001"	42	181252	23.2
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2002"	"2002"	46	184866	24.9
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2003"	"2003"	46	188284	24.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2004"	"2004"	49	192638	25.4
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2005"	"2005"	48	195848	24.5
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"Female"	"F"	"1-4 years"	"1-4"	"2006"	"2006"	40	195869	20.4
