"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"1999"	"1999"	62	9882	627.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2000"	"2000"	83	9944	834.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2001"	"2001"	59	10007	589.6
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2002"	"2002"	72	10036	717.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2003"	"2003"	62	10225	606.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2004"	"2004"	68	10397	654.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2005"	"2005"	71	10086	703.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2006"	"2006"	68	10397	654.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2007"	"2007"	76	10952	693.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2008"	"2008"	75	10880	689.3
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2009"	"2009"	79	10334	764.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2010"	"2010"	69	9976	691.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2011"	"2011"	58	10056	576.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2012"	"2012"	66	9823	671.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2013"	"2013"	68	9910	686.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2014"	"2014"	54	9925	544.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2015"	"2015"	64	10068	635.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2016"	"2016"	58	9587	605.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"	"2017"	"2017"	60	9238	649.5
"Total"	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"< 1 year"	"1"			1272	191723	663.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"1999"	"1999"	13	40380	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2000"	"2000"	13	39997	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2001"	"2001"	13	39314	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2003"	"2003"	10	40045	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2004"	"2004"	15	40160	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2005"	"2005"	16	40345	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2006"	"2006"	10	40111	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2007"	"2007"	16	39989	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2008"	"2008"	14	40347	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2009"	"2009"	13	40659	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2010"	"2010"	18	40784	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2012"	"2012"	17	40630	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2013"	"2013"	15	40134	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2014"	"2014"	17	40397	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2016"	"2016"	11	39704	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"	"2017"	"2017"	12	38875	Unreliable
"Total"	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"1-4 years"	"1-4"			245	762772	32.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"1999"	"1999"	31	111044	27.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2000"	"2000"	28	110256	25.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2001"	"2001"	18	108305	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2002"	"2002"	19	107213	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2003"	"2003"	18	106719	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2004"	"2004"	21	106450	19.7
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2005"	"2005"	13	105574	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2006"	"2006"	11	105117	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2007"	"2007"	17	104366	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2008"	"2008"	13	104517	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2009"	"2009"	11	104898	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2010"	"2010"	12	105088	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2011"	"2011"	14	104438	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2012"	"2012"	16	104721	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2013"	"2013"	24	104403	23.0
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2014"	"2014"	10	103459	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2015"	"2015"	17	102375	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2016"	"2016"	15	101769	Unreliable
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"	"2017"	"2017"	11	100647	Unreliable
"Total"	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"5-14 years"	"5-14"			319	2001359	15.9
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"1999"	"1999"	58	123051	47.1
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2000"	"2000"	78	120451	64.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2001"	"2001"	67	120153	55.8
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2002"	"2002"	87	120107	72.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2003"	"2003"	85	119432	71.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2004"	"2004"	86	118853	72.4
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2005"	"2005"	70	117627	59.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2006"	"2006"	75	116883	64.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2007"	"2007"	70	116322	60.2
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2008"	"2008"	64	115382	55.5
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"Female"	"F"	"15-24 years"	"15-24"	"2009"	"2009"	60	115714	51.9
