County,Year,Population,Deaths
barbour,2006,15922,201
barbour,2007,16036,164
barbour,2008,16241,179
barbour,2009,16479,188
barbour,2010,16589,174
barbour,2011,16520,178
barbour,2012,16493,208
berkeley,2006,96318,743
berkeley,2007,99132,735
berkeley,2008,101629,807
berkeley,2009,102830,837
berkeley,2010,104169,800
berkeley,2011,105750,880
berkeley,2012,107098,896
boone,2006,25101,332
boone,2007,25115,348
boone,2008,24794,367
boone,2009,24766,285
boone,2010,24629,333
boone,2011,24444,333
boone,2012,24478,281
braxton,2006,14585,184
braxton,2007,14585,183
braxton,2008,14587,182
braxton,2009,14512,163
braxton,2010,14523,152
braxton,2011,14485,165
braxton,2012,14468,196
brooke,2006,24399,337
brooke,2007,24235,348
brooke,2008,24168,308
brooke,2009,24153,302
brooke,2010,24069,361
brooke,2011,23844,354
brooke,2012,23853,336
cabell,2006,94943,1129
cabell,2007,95059,1255
cabell,2008,95209,1255
cabell,2009,96040,1090
cabell,2010,96319,1145
cabell,2011,96653,1168
cabell,2012,96974,1079
calhoun,2006,7531,78
calhoun,2007,7588,87
calhoun,2008,7621,91
calhoun,2009,7560,88
calhoun,2010,7627,90
calhoun,2011,7652,95
calhoun,2012,7607,105
clay,2006,9695,136
clay,2007,9696,121
clay,2008,9603,121
clay,2009,9505,100
clay,2010,9386,100
clay,2011,9357,102
clay,2012,9297,112
doddridge,2006,7848,81
doddridge,2007,7970,62
doddridge,2008,8034,80
doddridge,2009,8124,80
doddridge,2010,8202,75
doddridge,2011,8171,81
doddridge,2012,8178,83
fayette,2006,46200,607
fayette,2007,46243,646
fayette,2008,46171,626
fayette,2009,46034,670
fayette,2010,46039,647
fayette,2011,45699,608
fayette,2012,45869,640
gilmer,2006,8083,106
gilmer,2007,8248,87
gilmer,2008,8408,81
gilmer,2009,8529,82
gilmer,2010,8693,58
gilmer,2011,8705,73
gilmer,2012,8732,82
grant,2006,11834,124
grant,2007,11969,111
grant,2008,12022,116
grant,2009,11963,108
grant,2010,11937,119
grant,2011,11891,141
grant,2012,11816,127
greenbrier,2006,35196,442
greenbrier,2007,35354,428
greenbrier,2008,35457,498
greenbrier,2009,35351,483
greenbrier,2010,35480,458
greenbrier,2011,35800,529
greenbrier,2012,35820,467
hampshire,2006,23016,194
hampshire,2007,23492,205
hampshire,2008,23664,208
hampshire,2009,23820,220
hampshire,2010,23964,246
hampshire,2011,23812,253
hampshire,2012,23709,251
hancock,2006,31266,392
hancock,2007,30887,402
hancock,2008,30802,419
hancock,2009,30748,430
hancock,2010,30676,381
hancock,2011,30571,388
hancock,2012,30305,440
hardy,2006,13611,132
hardy,2007,13807,140
hardy,2008,13793,128
hardy,2009,13885,150
hardy,2010,14025,143
hardy,2011,13912,144
hardy,2012,13866,131
harrison,2006,68141,828
harrison,2007,67940,855
harrison,2008,68441,823
harrison,2009,68696,874
harrison,2010,69099,828
harrison,2011,69436,930
harrison,2012,69141,834
jackson,2006,28877,306
jackson,2007,29089,318
jackson,2008,29101,346
jackson,2009,29155,331
jackson,2010,29211,326
jackson,2011,29241,315
jackson,2012,29234,352
jefferson,2006,50003,378
jefferson,2007,51264,434
jefferson,2008,52184,402
jefferson,2009,53054,423
jefferson,2010,53498,440
jefferson,2011,54225,417
jefferson,2012,54504,449
kanawha,2006,192954,2403
kanawha,2007,192354,2443
kanawha,2008,192414,2578
kanawha,2009,193150,2457
kanawha,2010,193063,2473
kanawha,2011,192315,2391
kanawha,2012,192179,2418
lewis,2006,16445,235
lewis,2007,16360,240
lewis,2008,16422,219
lewis,2009,16422,223
lewis,2010,16372,198
lewis,2011,16416,202
lewis,2012,16371,238
lincoln,2006,22064,254
lincoln,2007,21953,263
lincoln,2008,21881,268
lincoln,2009,21794,264
lincoln,2010,21720,277
lincoln,2011,21550,286
lincoln,2012,21627,245
logan,2006,36440,507
logan,2007,36443,484
logan,2008,36548,498
logan,2009,36645,508
logan,2010,36743,483
logan,2011,36457,549
logan,2012,36168,515
mcdowell,2006,23199,380
mcdowell,2007,22746,374
mcdowell,2008,22494,374
mcdowell,2009,22276,359
mcdowell,2010,22113,364
mcdowell,2011,21729,381
mcdowell,2012,21326,399
marion,2006,56284,670
marion,2007,56445,695
marion,2008,56141,730
marion,2009,56426,687
marion,2010,56418,641
marion,2011,56586,643
marion,2012,56678,657
marshall,2006,33814,388
marshall,2007,33583,373
marshall,2008,33248,406
marshall,2009,33116,389
marshall,2010,33107,387
marshall,2011,32800,408
marshall,2012,32674,437
mason,2006,26648,321
mason,2007,26738,295
mason,2008,27097,311
mason,2009,27309,314
mason,2010,27324,359
mason,2011,27298,325
mason,2012,27179,326
mercer,2006,61297,824
mercer,2007,61615,900
mercer,2008,61848,848
mercer,2009,62177,894
mercer,2010,62264,863
mercer,2011,62465,946
mercer,2012,62523,912
mineral,2006,27324,321
mineral,2007,27532,277
mineral,2008,27824,287
mineral,2009,28080,331
mineral,2010,28212,327
mineral,2011,28192,319
mineral,2012,27956,310
mingo,2006,27054,392
mingo,2007,27145,353
mingo,2008,26850,378
mingo,2009,26943,369
mingo,2010,26839,360
mingo,2011,26563,369
mingo,2012,26103,349
monongalia,2006,89656,599
monongalia,2007,90764,630
monongalia,2008,92200,634
monongalia,2009,94165,614
monongalia,2010,96189,617
monongalia,2011,98528,650
monongalia,2012,100332,651
monroe,2006,13382,145
monroe,2007,13452,165
monroe,2008,13607,165
monroe,2009,13543,153
monroe,2010,13502,175
monroe,2011,13534,173
monroe,2012,13463,166
morgan,2006,17038,183
morgan,2007,17410,181
morgan,2008,17520,196
morgan,2009,17580,194
morgan,2010,17541,212
morgan,2011,17535,194
morgan,2012,17471,190
nicholas,2006,26205,324
nicholas,2007,26130,320
nicholas,2008,26138,326
nicholas,2009,26253,328
nicholas,2010,26233,325
nicholas,2011,26268,341
nicholas,2012,26229,356
ohio,2006,44925,549
ohio,2007,44714,611
ohio,2008,44469,571
ohio,2009,44355,609
ohio,2010,44443,557
ohio,2011,44246,580
ohio,2012,44075,630
pendleton,2006,7922,95
pendleton,2007,7792,97
pendleton,2008,7761,106
pendleton,2009,7701,68
pendleton,2010,7695,94
pendleton,2011,7673,104
pendleton,2012,7566,103
pleasants,2006,7670,68
pleasants,2007,7698,79
pleasants,2008,7702,83
pleasants,2009,7672,82
pleasants,2010,7605,90
pleasants,2011,7611,104
pleasants,2012,7595,103
pocahontas,2006,8938,123
pocahontas,2007,8851,117
pocahontas,2008,8807,107
pocahontas,2009,8746,110
pocahontas,2010,8719,115
pocahontas,2011,8786,91
pocahontas,2012,8692,107
preston,2006,32238,303
preston,2007,32743,329
