County,State,Year,Population,Deaths
Barbour,WV,2006,15922,201
Barbour,WV,2007,16036,164
Barbour,WV,2008,16241,179
Barbour,WV,2009,16479,188
Barbour,WV,2010,16589,174
Barbour,WV,2011,16520,178
Barbour,WV,2012,16493,208
Berkeley,WV,2006,96318,743
Berkeley,WV,2007,99132,735
Berkeley,WV,2008,101629,807
Berkeley,WV,2009,102830,837
Berkeley,WV,2010,104169,800
Berkeley,WV,2011,105750,880
Berkeley,WV,2012,107098,896
Boone,WV,2006,25101,332
Boone,WV,2007,25115,348
Boone,WV,2008,24794,367
Boone,WV,2009,24766,285
Boone,WV,2010,24629,333
Boone,WV,2011,24444,333
Boone,WV,2012,24478,281
Braxton,WV,2006,14585,184
Braxton,WV,2007,14585,183
Braxton,WV,2008,14587,182
Braxton,WV,2009,14512,163
Braxton,WV,2010,14523,152
Braxton,WV,2011,14485,165
Braxton,WV,2012,14468,196
Brooke,WV,2006,24399,337
Brooke,WV,2007,24235,348
Brooke,WV,2008,24168,308
Brooke,WV,2009,24153,302
Brooke,WV,2010,24069,361
Brooke,WV,2011,23844,354
Brooke,WV,2012,23853,336
Cabell,WV,2006,94943,1129
Cabell,WV,2007,95059,1255
Cabell,WV,2008,95209,1255
Cabell,WV,2009,96040,1090
Cabell,WV,2010,96319,1145
Cabell,WV,2011,96653,1168
Cabell,WV,2012,96974,1079
Calhoun,WV,2006,7531,78
Calhoun,WV,2007,7588,87
Calhoun,WV,2008,7621,91
Calhoun,WV,2009,7560,88
Calhoun,WV,2010,7627,90
Calhoun,WV,2011,7652,95
Calhoun,WV,2012,7607,105
Clay,WV,2006,9695,136
Clay,WV,2007,9696,121
Clay,WV,2008,9603,121
Clay,WV,2009,9505,100
Clay,WV,2010,9386,100
Clay,WV,2011,9357,102
Clay,WV,2012,9297,112
Doddridge,WV,2006,7848,81
Doddridge,WV,2007,7970,62
Doddridge,WV,2008,8034,80
Doddridge,WV,2009,8124,80
Doddridge,WV,2010,8202,75
Doddridge,WV,2011,8171,81
Doddridge,WV,2012,8178,83
Fayette,WV,2006,46200,607
Fayette,WV,2007,46243,646
Fayette,WV,2008,46171,626
Fayette,WV,2009,46034,670
Fayette,WV,2010,46039,647
Fayette,WV,2011,45699,608
Fayette,WV,2012,45869,640
Gilmer,WV,2006,8083,106
Gilmer,WV,2007,8248,87
Gilmer,WV,2008,8408,81
Gilmer,WV,2009,8529,82
Gilmer,WV,2010,8693,58
Gilmer,WV,2011,8705,73
Gilmer,WV,2012,8732,82
Grant,WV,2006,11834,124
Grant,WV,2007,11969,111
Grant,WV,2008,12022,116
Grant,WV,2009,11963,108
Grant,WV,2010,11937,119
Grant,WV,2011,11891,141
Grant,WV,2012,11816,127
Greenbrier,WV,2006,35196,442
Greenbrier,WV,2007,35354,428
Greenbrier,WV,2008,35457,498
Greenbrier,WV,2009,35351,483
Greenbrier,WV,2010,35480,458
Greenbrier,WV,2011,35800,529
Greenbrier,WV,2012,35820,467
Hampshire,WV,2006,23016,194
Hampshire,WV,2007,23492,205
Hampshire,WV,2008,23664,208
Hampshire,WV,2009,23820,220
Hampshire,WV,2010,23964,246
Hampshire,WV,2011,23812,253
Hampshire,WV,2012,23709,251
Hancock,WV,2006,31266,392
Hancock,WV,2007,30887,402
Hancock,WV,2008,30802,419
Hancock,WV,2009,30748,430
Hancock,WV,2010,30676,381
Hancock,WV,2011,30571,388
Hancock,WV,2012,30305,440
Hardy,WV,2006,13611,132
Hardy,WV,2007,13807,140
Hardy,WV,2008,13793,128
Hardy,WV,2009,13885,150
Hardy,WV,2010,14025,143
Hardy,WV,2011,13912,144
Hardy,WV,2012,13866,131
Harrison,WV,2006,68141,828
Harrison,WV,2007,67940,855
Harrison,WV,2008,68441,823
Harrison,WV,2009,68696,874
Harrison,WV,2010,69099,828
