,Notes,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
0,,"Barbour County, WV",54001.0,2006.0,2006.0,201.0,15922.0,1262.4
1,,"Barbour County, WV",54001.0,2007.0,2007.0,164.0,16036.0,1022.7
2,,"Barbour County, WV",54001.0,2008.0,2008.0,179.0,16241.0,1102.1
3,,"Barbour County, WV",54001.0,2009.0,2009.0,188.0,16479.0,1140.8
4,,"Barbour County, WV",54001.0,2010.0,2010.0,174.0,16589.0,1048.9
5,,"Barbour County, WV",54001.0,2011.0,2011.0,178.0,16520.0,1077.5
6,,"Barbour County, WV",54001.0,2012.0,2012.0,208.0,16493.0,1261.1
8,,"Berkeley County, WV",54003.0,2006.0,2006.0,743.0,96318.0,771.4
9,,"Berkeley County, WV",54003.0,2007.0,2007.0,735.0,99132.0,741.4
10,,"Berkeley County, WV",54003.0,2008.0,2008.0,807.0,101629.0,794.1
11,,"Berkeley County, WV",54003.0,2009.0,2009.0,837.0,102830.0,814.0
12,,"Berkeley County, WV",54003.0,2010.0,2010.0,800.0,104169.0,768.0
13,,"Berkeley County, WV",54003.0,2011.0,2011.0,880.0,105750.0,832.2
14,,"Berkeley County, WV",54003.0,2012.0,2012.0,896.0,107098.0,836.6
16,,"Boone County, WV",54005.0,2006.0,2006.0,332.0,25101.0,1322.7
17,,"Boone County, WV",54005.0,2007.0,2007.0,348.0,25115.0,1385.6
18,,"Boone County, WV",54005.0,2008.0,2008.0,367.0,24794.0,1480.2
19,,"Boone County, WV",54005.0,2009.0,2009.0,285.0,24766.0,1150.8
20,,"Boone County, WV",54005.0,2010.0,2010.0,333.0,24629.0,1352.1
21,,"Boone County, WV",54005.0,2011.0,2011.0,333.0,24444.0,1362.3
22,,"Boone County, WV",54005.0,2012.0,2012.0,281.0,24478.0,1148.0
24,,"Braxton County, WV",54007.0,2006.0,2006.0,184.0,14585.0,1261.6
25,,"Braxton County, WV",54007.0,2007.0,2007.0,183.0,14585.0,1254.7
26,,"Braxton County, WV",54007.0,2008.0,2008.0,182.0,14587.0,1247.7
27,,"Braxton County, WV",54007.0,2009.0,2009.0,163.0,14512.0,1123.2
28,,"Braxton County, WV",54007.0,2010.0,2010.0,152.0,14523.0,1046.6
29,,"Braxton County, WV",54007.0,2011.0,2011.0,165.0,14485.0,1139.1
30,,"Braxton County, WV",54007.0,2012.0,2012.0,196.0,14468.0,1354.7
32,,"Brooke County, WV",54009.0,2006.0,2006.0,337.0,24399.0,1381.2
33,,"Brooke County, WV",54009.0,2007.0,2007.0,348.0,24235.0,1435.9
34,,"Brooke County, WV",54009.0,2008.0,2008.0,308.0,24168.0,1274.4
35,,"Brooke County, WV",54009.0,2009.0,2009.0,302.0,24153.0,1250.4
36,,"Brooke County, WV",54009.0,2010.0,2010.0,361.0,24069.0,1499.9
37,,"Brooke County, WV",54009.0,2011.0,2011.0,354.0,23844.0,1484.7
38,,"Brooke County, WV",54009.0,2012.0,2012.0,336.0,23853.0,1408.6
40,,"Cabell County, WV",54011.0,2006.0,2006.0,1129.0,94943.0,1189.1
41,,"Cabell County, WV",54011.0,2007.0,2007.0,1255.0,95059.0,1320.2
42,,"Cabell County, WV",54011.0,2008.0,2008.0,1255.0,95209.0,1318.2
43,,"Cabell County, WV",54011.0,2009.0,2009.0,1090.0,96040.0,1134.9
44,,"Cabell County, WV",54011.0,2010.0,2010.0,1145.0,96319.0,1188.8
45,,"Cabell County, WV",54011.0,2011.0,2011.0,1168.0,96653.0,1208.4
46,,"Cabell County, WV",54011.0,2012.0,2012.0,1079.0,96974.0,1112.7
48,,"Calhoun County, WV",54013.0,2006.0,2006.0,78.0,7531.0,1035.7
49,,"Calhoun County, WV",54013.0,2007.0,2007.0,87.0,7588.0,1146.5
50,,"Calhoun County, WV",54013.0,2008.0,2008.0,91.0,7621.0,1194.1
51,,"Calhoun County, WV",54013.0,2009.0,2009.0,88.0,7560.0,1164.0
