"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Barbour County, WV"	"54001"	"2006"	"2006"	201	15922	1262.4
	"Barbour County, WV"	"54001"	"2007"	"2007"	164	16036	1022.7
	"Barbour County, WV"	"54001"	"2008"	"2008"	179	16241	1102.1
	"Barbour County, WV"	"54001"	"2009"	"2009"	188	16479	1140.8
	"Barbour County, WV"	"54001"	"2010"	"2010"	174	16589	1048.9
	"Barbour County, WV"	"54001"	"2011"	"2011"	178	16520	1077.5
	"Barbour County, WV"	"54001"	"2012"	"2012"	208	16493	1261.1
"Total"	"Barbour County, WV"	"54001"			1292	114280	1130.6
	"Berkeley County, WV"	"54003"	"2006"	"2006"	743	96318	771.4
	"Berkeley County, WV"	"54003"	"2007"	"2007"	735	99132	741.4
	"Berkeley County, WV"	"54003"	"2008"	"2008"	807	101629	794.1
	"Berkeley County, WV"	"54003"	"2009"	"2009"	837	102830	814.0
	"Berkeley County, WV"	"54003"	"2010"	"2010"	800	104169	768.0
	"Berkeley County, WV"	"54003"	"2011"	"2011"	880	105750	832.2
	"Berkeley County, WV"	"54003"	"2012"	"2012"	896	107098	836.6
"Total"	"Berkeley County, WV"	"54003"			5698	716926	794.8
	"Boone County, WV"	"54005"	"2006"	"2006"	332	25101	1322.7
	"Boone County, WV"	"54005"	"2007"	"2007"	348	25115	1385.6
	"Boone County, WV"	"54005"	"2008"	"2008"	367	24794	1480.2
	"Boone County, WV"	"54005"	"2009"	"2009"	285	24766	1150.8
	"Boone County, WV"	"54005"	"2010"	"2010"	333	24629	1352.1
	"Boone County, WV"	"54005"	"2011"	"2011"	333	24444	1362.3
	"Boone County, WV"	"54005"	"2012"	"2012"	281	24478	1148.0
"Total"	"Boone County, WV"	"54005"			2279	173327	1314.9
	"Braxton County, WV"	"54007"	"2006"	"2006"	184	14585	1261.6
	"Braxton County, WV"	"54007"	"2007"	"2007"	183	14585	1254.7
	"Braxton County, WV"	"54007"	"2008"	"2008"	182	14587	1247.7
	"Braxton County, WV"	"54007"	"2009"	"2009"	163	14512	1123.2
	"Braxton County, WV"	"54007"	"2010"	"2010"	152	14523	1046.6
	"Braxton County, WV"	"54007"	"2011"	"2011"	165	14485	1139.1
	"Braxton County, WV"	"54007"	"2012"	"2012"	196	14468	1354.7
"Total"	"Braxton County, WV"	"54007"			1225	101745	1204.0
	"Brooke County, WV"	"54009"	"2006"	"2006"	337	24399	1381.2
	"Brooke County, WV"	"54009"	"2007"	"2007"	348	24235	1435.9
	"Brooke County, WV"	"54009"	"2008"	"2008"	308	24168	1274.4
	"Brooke County, WV"	"54009"	"2009"	"2009"	302	24153	1250.4
	"Brooke County, WV"	"54009"	"2010"	"2010"	361	24069	1499.9
	"Brooke County, WV"	"54009"	"2011"	"2011"	354	23844	1484.7
	"Brooke County, WV"	"54009"	"2012"	"2012"	336	23853	1408.6
"Total"	"Brooke County, WV"	"54009"			2346	168721	1390.5
	"Cabell County, WV"	"54011"	"2006"	"2006"	1129	94943	1189.1
	"Cabell County, WV"	"54011"	"2007"	"2007"	1255	95059	1320.2
	"Cabell County, WV"	"54011"	"2008"	"2008"	1255	95209	1318.2
	"Cabell County, WV"	"54011"	"2009"	"2009"	1090	96040	1134.9
	"Cabell County, WV"	"54011"	"2010"	"2010"	1145	96319	1188.8
	"Cabell County, WV"	"54011"	"2011"	"2011"	1168	96653	1208.4
	"Cabell County, WV"	"54011"	"2012"	"2012"	1079	96974	1112.7
"Total"	"Cabell County, WV"	"54011"			8121	671197	1209.9
	"Calhoun County, WV"	"54013"	"2006"	"2006"	78	7531	1035.7
	"Calhoun County, WV"	"54013"	"2007"	"2007"	87	7588	1146.5
	"Calhoun County, WV"	"54013"	"2008"	"2008"	91	7621	1194.1
	"Calhoun County, WV"	"54013"	"2009"	"2009"	88	7560	1164.0
	"Calhoun County, WV"	"54013"	"2010"	"2010"	90	7627	1180.0
	"Calhoun County, WV"	"54013"	"2011"	"2011"	95	7652	1241.5
	"Calhoun County, WV"	"54013"	"2012"	"2012"	105	7607	1380.3
"Total"	"Calhoun County, WV"	"54013"			634	53186	1192.0
	"Clay County, WV"	"54015"	"2006"	"2006"	136	9695	1402.8
	"Clay County, WV"	"54015"	"2007"	"2007"	121	9696	1247.9
	"Clay County, WV"	"54015"	"2008"	"2008"	121	9603	1260.0
